model_version,variation_id,vcv_accession,gene,old_classification,actual_later_classification,actual_outcome,predicted_class,pathogenic_probability,score_or_probability,correct,analysis_bucket,confidence,key_features,match_confidence,warning_flags,suspected_error_category,manual_review_status,notes,leakage_audit_status,source
V4,587716,not recorded,BTD,Uncertain significance,Pathogenic/Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,591707,not recorded,ATP6V1B1,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.5043851467622059,0.5043851467622059,true,low-confidence,0.5043851467622059,canonical_splice_consequence; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,637690,not recorded,IFRD1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.31961836060728277,0.31961836060728277,true,low-confidence,0.6803816393927172,missense_consequence; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,640153,not recorded,TRIM2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,641541,not recorded,HADHA,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,643231,not recorded,HEXB,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,649351,not recorded,BRCA1,Uncertain significance,Pathogenic/Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,650394,not recorded,CPOX,Uncertain significance,Benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,652602,not recorded,DHTKD1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,808386,not recorded,ASXL3,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes; Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,808819,not recorded,KIF5C,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,813665,not recorded,AAAS,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.31961836060728277,0.31961836060728277,false,low-confidence,0.6803816393927172,missense_consequence; record_completeness,high,Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,820674,not recorded,MSH2,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,823130,not recorded,CHEK2,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_benign,0.4669423869756498,0.4669423869756498,false,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,834515,not recorded,DCLRE1B,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,842010,not recorded,RAD51C,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,842883,not recorded,CLRN1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,842981,not recorded,PCYT1A,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,842983,not recorded,TTLL5,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.4669423869756498,0.4669423869756498,true,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,843572,not recorded,ADAR,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,844188,not recorded,MEN1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,847302,not recorded,FUS,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.5901013165754391,0.5901013165754391,true,low-confidence,0.5901013165754391,canonical_splice_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,847414,not recorded,DNM1,Uncertain significance,Benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,847569,not recorded,AXIN2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,850551,not recorded,ENTPD1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,853414,not recorded,SPATA7,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,855624,not recorded,TMEM43,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.4669423869756498,0.4669423869756498,true,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,859916,not recorded,AIFM1,Uncertain significance,Benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,860686,not recorded,SET,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_benign,0.4669423869756498,0.4669423869756498,false,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes; Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,860805,not recorded,ABCG5,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.4669423869756498,0.4669423869756498,true,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,934764,not recorded,MMUT,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,936718,not recorded,TRDN,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.4669423869756498,0.4669423869756498,true,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,939354,not recorded,PCCB,Uncertain significance,Pathogenic/Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,941157,not recorded,DTHD1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,967817,not recorded,MAP2K2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,968780,not recorded,SLC25A15,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,988861,not recorded,TUBB1,Uncertain significance,Benign,moved_toward_benign,moved_toward_benign,0.2912171890551943,0.2912171890551943,true,low-confidence,0.7087828109448058,missense_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,989873,not recorded,F11,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.3830806882300358,0.3830806882300358,true,low-confidence,0.6169193117699642,synonymous_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,989905,not recorded,CIITA,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.3830806882300358,0.3830806882300358,true,low-confidence,0.6169193117699642,synonymous_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,990096,not recorded,TFR2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.3855965280863268,0.3855965280863268,true,low-confidence,0.6144034719136733,noncoding_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,990156,not recorded,CYP11B2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.2912171890551943,0.2912171890551943,true,low-confidence,0.7087828109448058,missense_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,991332,not recorded,ASS1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.3830806882300358,0.3830806882300358,true,low-confidence,0.6169193117699642,synonymous_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,991516,not recorded,TCIRG1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.3830806882300358,0.3830806882300358,true,low-confidence,0.6169193117699642,synonymous_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,992213,not recorded,APOA2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.4669423869756498,0.4669423869756498,true,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1000783,not recorded,GCSH,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.6107324150878616,0.6107324150878616,true,low-confidence,0.6107324150878616,loss_of_function_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1001412,not recorded,PRPS1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1001458,not recorded,ARL2BP,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1001542,not recorded,ARSI,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1005993,not recorded,COL9A3,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1006592,not recorded,SH3TC2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1007459,not recorded,MATR3,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1011772,not recorded,CHST6,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1012531,not recorded,CAMK2A,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1015498,not recorded,PDE6C,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.459262909948779,0.459262909948779,false,low-confidence,0.540737090051221,criteria_without_conflict; classification_age; record_completeness,high,Molecular consequence was not recognized from older HGVS text.; Missing older fields: phenotypes,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1016927,not recorded,DNAAF1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1018374,not recorded,GLRB,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.4669423869756498,0.4669423869756498,true,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1022303,not recorded,JAG1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1035683,not recorded,TRAF3IP1,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.5901013165754391,0.5901013165754391,true,low-confidence,0.5901013165754391,canonical_splice_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1039247,not recorded,ROGDI,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.4669423869756498,0.4669423869756498,true,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,1044308,not recorded,ALG1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
